#,"English
{[@2#1~en~0@]}","Chinese (Simplified)
{[@2#1~zh-Hans~0@]}","Import Status 
"171
{[@1#8383#39677#36381782@]}",Client Download,客户端下载," 
{[@3#@]}"," 
{[@3#@]}",
"172
{[@1#8383#39677#36381783@]}",Client Side Checks,客户端检查," 
{[@3#@]}"," 
{[@3#@]}",
"173
{[@1#8383#39677#36381784@]}",Cluster,集群," 
{[@3#@]}"," 
{[@3#@]}",
"174
{[@1#8383#39677#36381785@]}",Cluster Members,集群成员," 
{[@3#@]}"," 
{[@3#@]}",
"175
{[@1#8383#39677#36381786@]}",Clusters,集群," 
{[@3#@]}"," 
{[@3#@]}",
"176
{[@1#8383#39677#36381787@]}",Components,组件," 
{[@3#@]}"," 
{[@3#@]}",
"177
{[@1#8383#39677#36381788@]}",Configuration Utility,配置实用程序," 
{[@3#@]}"," 
{[@3#@]}",
"178
{[@1#8383#39677#36381789@]}",Custom:,自定义：," 
{[@3#@]}"," 
{[@3#@]}",
"179
{[@1#8383#39677#36381790@]}",Device Certificate Management,设备证书管理," 
{[@3#@]}"," 
{[@3#@]}",
"180
{[@1#8383#39677#36381791@]}",Established,已建立," 
{[@3#@]}"," 
{[@3#@]}",
"181
{[@1#8383#39677#36381792@]}",Fast,快速," 
{[@3#@]}"," 
{[@3#@]}",
"182
{[@1#8383#39677#36381793@]}",Field,字段," 
{[@3#@]}"," 
{[@3#@]}",
"183
{[@1#8383#39677#36381794@]}",FQDN,FQDN," 
{[@3#@]}"," 
{[@3#@]}",
"184
{[@1#8383#39677#36381795@]}",FTP,FTP," 
{[@3#@]}"," 
{[@3#@]}",
"185
{[@1#8383#39677#36381796@]}",TFTP,TFTP," 
{[@3#@]}"," 
{[@3#@]}",
"186
{[@1#8383#39677#36381797@]}",IPsecALG,IPsecALG," 
{[@3#@]}"," 
{[@3#@]}",
"187
{[@1#8383#39677#36381798@]}",ISAKMP,ISAKMP," 
{[@3#@]}"," 
{[@3#@]}",
"188
{[@1#8383#39677#36381799@]}",PPTP,PPTP," 
{[@3#@]}"," 
{[@3#@]}",
"189
{[@1#8383#39677#36381800@]}",SIP (legacy),SIP（旧版）," 
{[@3#@]}"," 
{[@3#@]}",
"190
{[@1#8383#39677#36381801@]}",SIP,SIP," 
{[@3#@]}"," 
{[@3#@]}",
"191
{[@1#8383#39677#36381802@]}",Cache,缓存," 
{[@3#@]}"," 
{[@3#@]}",
"192
{[@1#8383#39677#36381803@]}",RTSP,RTSP," 
{[@3#@]}"," 
{[@3#@]}",
"193
{[@1#8383#39677#36381804@]}",Application Tunnels (Java & Per-App VPN),应用通道 (Java & Per-App VPN)," 
{[@3#@]}"," 
{[@3#@]}",
"194
{[@1#8383#39677#36381805@]}",SCTP,SCTP," 
{[@3#@]}"," 
{[@3#@]}",
"195
{[@1#8383#39677#36381806@]}",Software Update,软件更新," 
{[@3#@]}"," 
{[@3#@]}",
"196
{[@1#8383#39677#36381807@]}",Software Management,软件管理," 
{[@3#@]}"," 
{[@3#@]}",
"197
{[@1#8383#39677#36381808@]}",Installed Images,已安装图像," 
{[@3#@]}"," 
{[@3#@]}",
"198
{[@1#8383#39677#36381809@]}",Available Images,可用图像," 
{[@3#@]}"," 
{[@3#@]}",
"199
{[@1#8383#39677#36381810@]}",Available Hotfixes,可用热补丁," 
{[@3#@]}"," 
{[@3#@]}",
"200
{[@1#8383#39677#36381811@]}",ftp,ftp," 
{[@3#@]}"," 
{[@3#@]}",
"201
{[@1#8383#39677#36381812@]}",tftp,tftp," 
{[@3#@]}"," 
{[@3#@]}",
"202
{[@1#8383#39677#36381813@]}",ipsecalg,ipsecalg," 
{[@3#@]}"," 
{[@3#@]}",
"203
{[@1#8383#39677#36381814@]}",sip,sip," 
{[@3#@]}"," 
{[@3#@]}",
"204
{[@1#8383#39677#36381815@]}",ssh,ssh," 
{[@3#@]}"," 
{[@3#@]}",
