#,"English
{[@2#1~en~0@]}","Chinese (Simplified)
{[@2#1~zh-Hans~0@]}","Import Status 
"8393
{[@1#8383#39677#36390004@]}",Static Depends,静态依赖," 
{[@3#@]}"," 
{[@3#@]}",
"8394
{[@1#8383#39677#36390005@]}",Dynamic Depends,动态依赖," 
{[@3#@]}"," 
{[@3#@]}",
"8395
{[@1#8383#39677#36390006@]}",Maximum Answers Returned,返回的最大应答数," 
{[@3#@]}"," 
{[@3#@]}",
"8396
{[@1#8383#39677#36390007@]}",Verify Member Availability,验证成员可用性," 
{[@3#@]}"," 
{[@3#@]}",
"8397
{[@1#8383#39677#36390008@]}",CNAME,CNAME," 
{[@3#@]}"," 
{[@3#@]}",
"8398
{[@1#8383#39677#36390009@]}",A,A," 
{[@3#@]}"," 
{[@3#@]}",
"8399
{[@1#8383#39677#36390010@]}",New Pool...,新建池...," 
{[@3#@]}"," 
{[@3#@]}",
"8400
{[@1#8383#39677#36390011@]}",Inherit From Pool,从池继承," 
{[@3#@]}"," 
{[@3#@]}",
"8401
{[@1#8383#39677#36390012@]}",Select Monitors...,选择监测器...," 
{[@3#@]}"," 
{[@3#@]}",
"8402
{[@1#8383#39677#36390013@]}",CPU:,CPU：," 
{[@3#@]}"," 
{[@3#@]}",
"8403
{[@1#8383#39677#36390014@]}",Memory:,内存：," 
{[@3#@]}"," 
{[@3#@]}",
"8404
{[@1#8383#39677#36390015@]}",Disk:,磁盘：," 
{[@3#@]}"," 
{[@3#@]}",
"8405
{[@1#8383#39677#36390016@]}",Last Resort Pool,终极池," 
{[@3#@]}"," 
{[@3#@]}",
"8406
{[@1#8383#39677#36390017@]}",Pool Options,池选项," 
{[@3#@]}"," 
{[@3#@]}",
"8407
{[@1#8383#39677#36390018@]}",Delete Pool(s),删除池," 
{[@3#@]}"," 
{[@3#@]}",
"8408
{[@1#8383#39677#36390019@]}",Member Views,成员视图," 
{[@3#@]}"," 
{[@3#@]}",
"8409
{[@1#8383#39677#36390020@]}",Dependency View,依赖关系视图," 
{[@3#@]}"," 
{[@3#@]}",
"8410
{[@1#8383#39677#36390021@]}",Member List,成员列表," 
{[@3#@]}"," 
{[@3#@]}",
"8411
{[@1#8383#39677#36390022@]}",Dependency List,依赖关系列表," 
{[@3#@]}"," 
{[@3#@]}",
"8412
{[@1#8383#39677#36390023@]}",Member Dependencies,成员依赖关系," 
{[@3#@]}"," 
{[@3#@]}",
"8413
{[@1#8383#39677#36390024@]}",Pool Member Properties,池成员属性," 
{[@3#@]}"," 
{[@3#@]}",
"8414
{[@1#8383#39677#36390025@]}",Are you sure you want to remove these Pool Member(s)?,确定要移除这些池成员？," 
{[@3#@]}"," 
{[@3#@]}",
"8415
{[@1#8383#39677#36390026@]}",Are you sure you want to delete this Pool?,确定要删除此池？," 
{[@3#@]}"," 
{[@3#@]}",
"8416
{[@1#8383#39677#36390027@]}",Member Name,成员名称," 
{[@3#@]}"," 
{[@3#@]}",
"8417
{[@1#8383#39677#36390028@]}",Member Address,成员地址," 
{[@3#@]}"," 
{[@3#@]}",
"8418
{[@1#8383#39677#36390029@]}",Dependency List,依赖关系列表," 
{[@3#@]}"," 
{[@3#@]}",
"8419
{[@1#8383#39677#36390030@]}",Dependencies,依赖关系," 
{[@3#@]}"," 
{[@3#@]}",
"8420
{[@1#8383#39677#36390031@]}",Member Order,成员顺序," 
{[@3#@]}"," 
{[@3#@]}",
"8421
{[@1#8383#39677#36390032@]}",Are you sure you want to delete the pool member(s)?,确定要删除池成员？," 
{[@3#@]}"," 
{[@3#@]}",
"8422
{[@1#8383#39677#36390033@]}",Alias List,别名列表," 
{[@3#@]}"," 
{[@3#@]}",
"8423
{[@1#8383#39677#36390034@]}",Delete Wide IPs,删除 WideIP," 
{[@3#@]}"," 
{[@3#@]}",
"8424
{[@1#8383#39677#36390035@]}",Wide IPs,WideIP," 
{[@3#@]}"," 
{[@3#@]}",
"8425
{[@1#8383#39677#36390036@]}",ECV,ECV," 
{[@3#@]}"," 
{[@3#@]}",
"8426
{[@1#8383#39677#36390037@]}",ECV Configuration,ECV 配置," 
{[@3#@]}"," 
{[@3#@]}",
"8427
{[@1#8383#39677#36390038@]}",Scan Level,扫描级别," 
{[@3#@]}"," 
{[@3#@]}",
"8428
{[@1#8383#39677#36390039@]}",Extended Content Verification,扩展内容验证," 
{[@3#@]}"," 
{[@3#@]}",
"8429
{[@1#8383#39677#36390040@]}",NoError TTL,NoError TTL," 
{[@3#@]}"," 
{[@3#@]}",
"8430
{[@1#8383#39677#36390041@]}",Load-Balancing Decision Log,负载均衡决策日志," 
{[@3#@]}"," 
{[@3#@]}",
"8431
{[@1#8383#39677#36390042@]}",Minimal Response,最小响应," 
{[@3#@]}"," 
{[@3#@]}",
"8432
{[@1#8383#39677#36390043@]}",Manual Resume,手动恢复," 
{[@3#@]}"," 
{[@3#@]}",
"8433
{[@1#8383#39677#36390044@]}",Member Service Ports,成员服务端口," 
{[@3#@]}"," 
{[@3#@]}",
"8434
{[@1#8383#39677#36390045@]}",New Wide IP...,新建 WideIP...," 
{[@3#@]}"," 
{[@3#@]}",
"8435
{[@1#8383#39677#36390046@]}",Persist CIDR (IPv4),持久 CIDR (IPv4)," 
{[@3#@]}"," 
{[@3#@]}",
"8436
{[@1#8383#39677#36390047@]}",Persist CIDR (IPv6),持久 CIDR (IPv6)," 
{[@3#@]}"," 
{[@3#@]}",
"8437
{[@1#8383#39677#36390048@]}",Persistence TTL,持久性 TTL," 
{[@3#@]}"," 
{[@3#@]}",
"8438
{[@1#8383#39677#36390049@]}",Pool Management,池管理," 
{[@3#@]}"," 
{[@3#@]}",
"8439
{[@1#8383#39677#36390050@]}",Pool Member Selection,池成员选择," 
{[@3#@]}"," 
{[@3#@]}",
"8440
{[@1#8383#39677#36390051@]}",Pool Selection,池选择," 
{[@3#@]}"," 
{[@3#@]}",
"8441
{[@1#8383#39677#36390052@]}",Pool Traversal,池遍历," 
{[@3#@]}"," 
{[@3#@]}",
"8442
{[@1#8383#39677#36390053@]}",Pool Member Traversal,池成员遍历," 
{[@3#@]}"," 
{[@3#@]}",
"8443
{[@1#8383#39677#36390054@]}",Services List,服务列表," 
{[@3#@]}"," 
{[@3#@]}",
"8444
{[@1#8383#39677#36390055@]}",Wide IP Name Only,仅限 WideIP 名称," 
{[@3#@]}"," 
{[@3#@]}",
"8445
{[@1#8383#39677#36390056@]}",Wide IP and Name,WideIP 和名称," 
{[@3#@]}"," 
{[@3#@]}",
"8446
{[@1#8383#39677#36390057@]}",Order,顺序," 
{[@3#@]}"," 
{[@3#@]}",
"8447
{[@1#8383#39677#36390058@]}",Are you sure you want to remove these Pool(s)?,确定要移除这些池？," 
{[@3#@]}"," 
{[@3#@]}",
"8448
{[@1#8383#39677#36390059@]}",Are you sure you want to remove these iRule(s)?,确定要移除这些 iRule？," 
{[@3#@]}"," 
{[@3#@]}",
"8449
{[@1#8383#39677#36390060@]}",Are you sure you want to remove this Wide IP?,确定要移除此 WideIP？," 
{[@3#@]}"," 
{[@3#@]}",
"8450
{[@1#8383#39677#36390061@]}",NoError Response,NoError 响应," 
{[@3#@]}"," 
{[@3#@]}",
"8451
{[@1#8383#39677#36390062@]}",Are you sure you want to delete this wide IP?,确定要删除此 WideIP？," 
{[@3#@]}"," 
{[@3#@]}",
"8452
{[@1#8383#39677#36390063@]}",Virtual Server List,虚拟服务器列表," 
{[@3#@]}"," 
{[@3#@]}",
"8453
{[@1#8383#39677#36390064@]}",Delete Virtual Server(s),删除虚拟服务器," 
{[@3#@]}"," 
{[@3#@]}",
"8454
{[@1#8383#39677#36390065@]}",Virtual Server Offline,虚拟服务器脱机," 
{[@3#@]}"," 
{[@3#@]}",
"8455
{[@1#8383#39677#36390066@]}",Virtual Servers Offline,虚拟服务器脱机," 
{[@3#@]}"," 
{[@3#@]}",
"8456
{[@1#8383#39677#36390067@]}",Virtual Server Unavailable,虚拟服务器不可用," 
{[@3#@]}"," 
{[@3#@]}",
"8457
{[@1#8383#39677#36390068@]}",Virtual Servers Unavailable,虚拟服务器不可用," 
{[@3#@]}"," 
{[@3#@]}",
"8458
{[@1#8383#39677#36390069@]}",Virtual Server Unknown,虚拟服务器未知," 
{[@3#@]}"," 
{[@3#@]}",
"8459
{[@1#8383#39677#36390070@]}",Virtual Servers Unknown,虚拟服务器未知," 
{[@3#@]}"," 
{[@3#@]}",
"8460
{[@1#8383#39677#36390071@]}",Virtual Server Available,虚拟服务器可用," 
{[@3#@]}"," 
{[@3#@]}",
"8461
{[@1#8383#39677#36390072@]}",Virtual Servers Available,虚拟服务器可用," 
{[@3#@]}"," 
{[@3#@]}",
"8462
{[@1#8383#39677#36390073@]}",Delete Virtual Server,删除虚拟服务器," 
{[@3#@]}"," 
{[@3#@]}",
"8463
{[@1#8383#39677#36390074@]}",Are you sure you want to remove this Virtual Server?,确定要移除此虚拟服务器？," 
{[@3#@]}"," 
{[@3#@]}",
"8464
{[@1#8383#39677#36390075@]}",Error accessing prober pool '%s',访问探测器池“%s”时出错," 
{[@3#@]}"," 
{[@3#@]}",
"8465
{[@1#8383#39677#36390076@]}",Prober pool '%s' was not found,找不到探测器池“%s”," 
{[@3#@]}"," 
{[@3#@]}",
"8466
{[@1#8383#39677#36390077@]}",Are you sure you want to delete prober pool \'%s\'?,确定要删除探测器池“%s”？," 
{[@3#@]}"," 
{[@3#@]}",
"8467
{[@1#8383#39677#36390078@]}",Order,顺序," 
{[@3#@]}"," 
{[@3#@]}",
"8468
{[@1#8383#39677#36390079@]}",Current Members,当前成员," 
{[@3#@]}"," 
{[@3#@]}",
"8469
{[@1#8383#39677#36390080@]}",Options,选项," 
{[@3#@]}"," 
{[@3#@]}",
"8470
{[@1#8383#39677#36390081@]}",Master Server Must End With Period,主服务器必须以周期结束," 
{[@3#@]}"," 
{[@3#@]}",
"8471
{[@1#8383#39677#36390082@]}",Resource Records,资源记录," 
{[@3#@]}"," 
{[@3#@]}",
"8472
{[@1#8383#39677#36390083@]}",Resource Record List,资源记录列表," 
{[@3#@]}"," 
{[@3#@]}",
"8473
{[@1#8383#39677#36390084@]}",A6,A6," 
{[@3#@]}"," 
{[@3#@]}",
"8474
{[@1#8383#39677#36390085@]}",AAAA,AAAA," 
{[@3#@]}"," 
{[@3#@]}",
"8475
{[@1#8383#39677#36390086@]}",A,A," 
{[@3#@]}"," 
{[@3#@]}",
"8476
{[@1#8383#39677#36390087@]}",CNAME,CNAME," 
{[@3#@]}"," 
{[@3#@]}",
"8477
{[@1#8383#39677#36390088@]}",DNAME,DNAME," 
{[@3#@]}"," 
{[@3#@]}",
"8478
{[@1#8383#39677#36390089@]}",HINFO,HINFO," 
{[@3#@]}"," 
{[@3#@]}",
"8479
{[@1#8383#39677#36390090@]}",KEY,KEY," 
{[@3#@]}"," 
{[@3#@]}",
"8480
{[@1#8383#39677#36390091@]}",MX,MX," 
{[@3#@]}"," 
{[@3#@]}",
"8481
{[@1#8383#39677#36390092@]}",NAPTR,NAPTR," 
{[@3#@]}"," 
{[@3#@]}",
"8482
{[@1#8383#39677#36390093@]}",NS,NS," 
{[@3#@]}"," 
{[@3#@]}",
"8483
{[@1#8383#39677#36390094@]}",NXT,NXT," 
{[@3#@]}"," 
{[@3#@]}",
"8484
{[@1#8383#39677#36390095@]}",PTR,PTR," 
{[@3#@]}"," 
{[@3#@]}",
"8485
{[@1#8383#39677#36390096@]}",SIG,SIG," 
{[@3#@]}"," 
{[@3#@]}",
"8486
{[@1#8383#39677#36390097@]}",SOA,SOA," 
{[@3#@]}"," 
{[@3#@]}",
"8487
{[@1#8383#39677#36390098@]}",SRV,SRV," 
{[@3#@]}"," 
{[@3#@]}",
"8488
{[@1#8383#39677#36390099@]}",TXT,TXT," 
{[@3#@]}"," 
{[@3#@]}",
"8489
{[@1#8383#39677#36390100@]}",NS Record,NS 记录," 
{[@3#@]}"," 
{[@3#@]}",
"8490
{[@1#8383#39677#36390101@]}",SOA Record,SOA 记录," 
{[@3#@]}"," 
{[@3#@]}",
"8491
{[@1#8383#39677#36390102@]}",A Record,A 记录," 
{[@3#@]}"," 
{[@3#@]}",
"8492
{[@1#8383#39677#36390103@]}",Records,记录," 
{[@3#@]}"," 
{[@3#@]}",
"8493
{[@1#8383#39677#36390104@]}",Domain Name,域名称," 
{[@3#@]}"," 
{[@3#@]}",
"8494
{[@1#8383#39677#36390105@]}",Name,名称," 
{[@3#@]}"," 
{[@3#@]}",
"8495
{[@1#8383#39677#36390106@]}",Type,类型," 
{[@3#@]}"," 
{[@3#@]}",
"8496
{[@1#8383#39677#36390107@]}",RDATA,RDATA," 
{[@3#@]}"," 
{[@3#@]}",
"8497
{[@1#8383#39677#36390108@]}",TTL,TTL," 
{[@3#@]}"," 
{[@3#@]}",
"8498
{[@1#8383#39677#36390109@]}",Master Server,主服务器," 
{[@3#@]}"," 
{[@3#@]}",
"8499
{[@1#8383#39677#36390110@]}",Email Contact,电子邮箱联系人," 
{[@3#@]}"," 
{[@3#@]}",
"8500
{[@1#8383#39677#36390111@]}",Serial Number,序列号," 
{[@3#@]}"," 
{[@3#@]}",
"8501
{[@1#8383#39677#36390112@]}",Refresh Interval,刷新时间间隔," 
{[@3#@]}"," 
{[@3#@]}",
"8502
{[@1#8383#39677#36390113@]}",Retry Interval,重试时间间隔," 
{[@3#@]}"," 
{[@3#@]}",
"8503
{[@1#8383#39677#36390114@]}",Expire,过期," 
{[@3#@]}"," 
{[@3#@]}",
"8504
{[@1#8383#39677#36390115@]}",Negative TTL,消极 TTL," 
{[@3#@]}"," 
{[@3#@]}",
"8505
{[@1#8383#39677#36390116@]}",Nameserver,名称服务器," 
{[@3#@]}"," 
{[@3#@]}",
"8506
{[@1#8383#39677#36390117@]}",Prefix Bits,前缀位数," 
{[@3#@]}"," 
{[@3#@]}",
"8507
{[@1#8383#39677#36390118@]}",Prefix Name,前缀名称," 
{[@3#@]}"," 
{[@3#@]}",
"8508
{[@1#8383#39677#36390119@]}",Hardware,硬件," 
{[@3#@]}"," 
{[@3#@]}",
"8509
{[@1#8383#39677#36390120@]}",OS,操作系统," 
{[@3#@]}"," 
{[@3#@]}",
"8510
{[@1#8383#39677#36390121@]}",Flags,标志," 
{[@3#@]}"," 
{[@3#@]}",
"8511
{[@1#8383#39677#36390122@]}",Algorithm,算法," 
{[@3#@]}"," 
{[@3#@]}",
"8512
{[@1#8383#39677#36390123@]}",Public Key,公共密钥," 
{[@3#@]}"," 
{[@3#@]}",
"8513
{[@1#8383#39677#36390124@]}",Preference,首选项," 
{[@3#@]}"," 
{[@3#@]}",
"8514
{[@1#8383#39677#36390125@]}",Mail Server,电子邮件服务器," 
{[@3#@]}"," 
{[@3#@]}",
"8515
{[@1#8383#39677#36390126@]}",Next Domain,下一域," 
{[@3#@]}"," 
{[@3#@]}",
"8516
{[@1#8383#39677#36390127@]}",Type Covered,已涵盖类型," 
{[@3#@]}"," 
{[@3#@]}",
"8517
{[@1#8383#39677#36390128@]}",Types Covered,已涵盖类型," 
{[@3#@]}"," 
{[@3#@]}",
"8518
{[@1#8383#39677#36390129@]}",Number of Labels,标签数," 
{[@3#@]}"," 
{[@3#@]}",
"8519
{[@1#8383#39677#36390130@]}",Original TTL,原始 TTL," 
{[@3#@]}"," 
{[@3#@]}",
"8520
{[@1#8383#39677#36390131@]}",Sig Expires,签名过期," 
{[@3#@]}"," 
{[@3#@]}",
"8521
{[@1#8383#39677#36390132@]}",Sig Inception,签名开始," 
{[@3#@]}"," 
{[@3#@]}",
"8522
{[@1#8383#39677#36390133@]}",Key Fingerprint,密钥指纹," 
{[@3#@]}"," 
{[@3#@]}",
"8523
{[@1#8383#39677#36390134@]}",Signer Name,签署者姓名," 
{[@3#@]}"," 
{[@3#@]}",
"8524
{[@1#8383#39677#36390135@]}",Signature,签名," 
{[@3#@]}"," 
{[@3#@]}",
"8525
{[@1#8383#39677#36390136@]}",Retry,重试," 
{[@3#@]}"," 
{[@3#@]}",
"8526
{[@1#8383#39677#36390137@]}",Weight,权重," 
{[@3#@]}"," 
{[@3#@]}",
"8527
{[@1#8383#39677#36390138@]}",Port,端口," 
{[@3#@]}"," 
{[@3#@]}",
"8528
{[@1#8383#39677#36390139@]}",Property Tag,属性标记," 
{[@3#@]}"," 
{[@3#@]}",
"8529
{[@1#8383#39677#36390140@]}",Property Value,属性值," 
{[@3#@]}"," 
{[@3#@]}",
"8530
{[@1#8383#39677#36390141@]}",Target Server,目标服务器," 
{[@3#@]}"," 
{[@3#@]}",
"8531
{[@1#8383#39677#36390142@]}",Create Reverse Record,创建反向记录," 
{[@3#@]}"," 
{[@3#@]}",
"8532
{[@1#8383#39677#36390143@]}",Record Configuration,记录配置," 
{[@3#@]}"," 
{[@3#@]}",
"8533
{[@1#8383#39677#36390144@]}",Resolver returned no such record,解析器未返回此类记录," 
{[@3#@]}"," 
{[@3#@]}",
"8534
{[@1#8383#39677#36390145@]}",Unsupported Record Type,不受支持的记录类型," 
{[@3#@]}"," 
{[@3#@]}",
"8535
{[@1#8383#39677#36390146@]}",RRSig Covers Unsupported Record Type,RRSig 涵盖不受支持的记录类型," 
{[@3#@]}"," 
{[@3#@]}",
"8536
{[@1#8383#39677#36390147@]}",Key Tag,密钥标记," 
{[@3#@]}"," 
{[@3#@]}",
"8537
{[@1#8383#39677#36390148@]}",Digest Type,摘要类型," 
{[@3#@]}"," 
{[@3#@]}",
"8538
{[@1#8383#39677#36390149@]}",Digest,摘要," 
{[@3#@]}"," 
{[@3#@]}",
"8539
{[@1#8383#39677#36390150@]}",Iterations,迭代," 
{[@3#@]}"," 
{[@3#@]}",
"8540
{[@1#8383#39677#36390151@]}",Salt,加盐," 
{[@3#@]}"," 
{[@3#@]}",
"8541
{[@1#8383#39677#36390152@]}",Next,下一步," 
{[@3#@]}"," 
{[@3#@]}",
"8542
{[@1#8383#39677#36390153@]}",Order,顺序," 
{[@3#@]}"," 
{[@3#@]}",
"8543
{[@1#8383#39677#36390154@]}",Service,服务," 
{[@3#@]}"," 
{[@3#@]}",
"8544
{[@1#8383#39677#36390155@]}",Regexp,Regexp," 
{[@3#@]}"," 
{[@3#@]}",
"8545
{[@1#8383#39677#36390156@]}",Replacement,替换," 
{[@3#@]}"," 
{[@3#@]}",
"8546
{[@1#8383#39677#36390157@]}",Zones,区域," 
{[@3#@]}"," 
{[@3#@]}",
"8547
{[@1#8383#39677#36390158@]}",Zone List,区域列表," 
{[@3#@]}"," 
{[@3#@]}",
"8548
{[@1#8383#39677#36390159@]}",Zone Name,区域名称," 
{[@3#@]}"," 
{[@3#@]}",
"8549
{[@1#8383#39677#36390160@]}",Zone Type,区域类型," 
{[@3#@]}"," 
{[@3#@]}",
"8550
{[@1#8383#39677#36390161@]}",Zone File Name,区域文件名," 
{[@3#@]}"," 
{[@3#@]}",
"8551
{[@1#8383#39677#36390162@]}",Masters,主设备," 
{[@3#@]}"," 
{[@3#@]}",
"8552
{[@1#8383#39677#36390163@]}",Zone Configuration,区域配置," 
{[@3#@]}"," 
{[@3#@]}",
"8553
{[@1#8383#39677#36390164@]}",Create Records,创建记录," 
{[@3#@]}"," 
{[@3#@]}",
"8554
{[@1#8383#39677#36390165@]}",Records Creation,记录创建," 
{[@3#@]}"," 
{[@3#@]}",
"8555
{[@1#8383#39677#36390166@]}",Records Creation Method,记录创建方法," 
{[@3#@]}"," 
{[@3#@]}",
"8556
{[@1#8383#39677#36390167@]}",Manual,手动," 
{[@3#@]}"," 
{[@3#@]}",
"8557
{[@1#8383#39677#36390168@]}",Transfer From Server...,从服务器传输...," 
{[@3#@]}"," 
{[@3#@]}",
"8558
{[@1#8383#39677#36390169@]}",Master,主设备," 
{[@3#@]}"," 
{[@3#@]}",
"8559
{[@1#8383#39677#36390170@]}",Slave,从属设备," 
{[@3#@]}"," 
{[@3#@]}",
"8560
{[@1#8383#39677#36390171@]}",Stub,存根," 
{[@3#@]}"," 
{[@3#@]}",
"8561
{[@1#8383#39677#36390172@]}",Hint,提示," 
{[@3#@]}"," 
{[@3#@]}",
"8562
{[@1#8383#39677#36390173@]}",Forward,转发," 
{[@3#@]}"," 
{[@3#@]}",
"8563
{[@1#8383#39677#36390174@]}",Unset,取消设置," 
{[@3#@]}"," 
{[@3#@]}",
"8564
{[@1#8383#39677#36390175@]}",Zone Type Configuration,区域类型配置," 
{[@3#@]}"," 
{[@3#@]}",
"8565
{[@1#8383#39677#36390176@]}",Upload Records File,上传记录文件," 
{[@3#@]}"," 
{[@3#@]}",
"8566
{[@1#8383#39677#36390177@]}",Transfer Records,转移记录," 
{[@3#@]}"," 
{[@3#@]}",
"8567
{[@1#8383#39677#36390178@]}",Source Server,源服务器," 
{[@3#@]}"," 
{[@3#@]}",
"8568
{[@1#8383#39677#36390179@]}",Source Zone,源区域," 
{[@3#@]}"," 
{[@3#@]}",
"8569
{[@1#8383#39677#36390180@]}",Create Reverse Records,创建反向记录," 
{[@3#@]}"," 
{[@3#@]}",
"8570
{[@1#8383#39677#36390181@]}",Create Reverse Zone,创建反向区域," 
{[@3#@]}"," 
{[@3#@]}",
"8571
{[@1#8383#39677#36390182@]}",Reverse Zone Name,反向区域名称," 
{[@3#@]}"," 
{[@3#@]}",
"8572
{[@1#8383#39677#36390183@]}",Reverse Zone File Name,反向区域文件名," 
{[@3#@]}"," 
{[@3#@]}",
"8573
{[@1#8383#39677#36390184@]}",Create A Record,创建 A 记录," 
{[@3#@]}"," 
{[@3#@]}",
"8574
{[@1#8383#39677#36390185@]}",All Zones (Select a View to search a specific zone),全部区域（选择一个视图以搜索指定区域）," 
{[@3#@]}"," 
{[@3#@]}",
"8575
{[@1#8383#39677#36390186@]}",Views,视图," 
{[@3#@]}"," 
{[@3#@]}",
"8576
{[@1#8383#39677#36390187@]}",View Name,视图名称," 
{[@3#@]}"," 
{[@3#@]}",
"8577
{[@1#8383#39677#36390188@]}",View Configuration,视图配置," 
{[@3#@]}"," 
{[@3#@]}",
"8578
{[@1#8383#39677#36390189@]}",View Order,视图顺序," 
{[@3#@]}"," 
{[@3#@]}",
"8579
{[@1#8383#39677#36390190@]}",First,第一个," 
{[@3#@]}"," 
{[@3#@]}",
"8580
{[@1#8383#39677#36390191@]}",Last,上一个," 
{[@3#@]}"," 
{[@3#@]}",
"8581
{[@1#8383#39677#36390192@]}",After,之后," 
{[@3#@]}"," 
{[@3#@]}",
"8582
{[@1#8383#39677#36390193@]}",Topology,拓扑," 
{[@3#@]}"," 
{[@3#@]}",
"8583
{[@1#8383#39677#36390194@]}",Weight,权重," 
{[@3#@]}"," 
{[@3#@]}",
"8584
{[@1#8383#39677#36390195@]}",Order,顺序," 
{[@3#@]}"," 
{[@3#@]}",
"8585
{[@1#8383#39677#36390196@]}",Not,不是," 
{[@3#@]}"," 
{[@3#@]}",
"8586
{[@1#8383#39677#36390197@]}",LDNS Record,LDNS 记录," 
{[@3#@]}"," 
{[@3#@]}",
"8587
{[@1#8383#39677#36390198@]}",Server Record,服务器记录," 
{[@3#@]}"," 
{[@3#@]}",
"8588
{[@1#8383#39677#36390199@]}",New Topology...,新建拓扑...," 
{[@3#@]}"," 
{[@3#@]}",
"8589
{[@1#8383#39677#36390200@]}",Are you sure you want to delete this topology record?,确定要删除此拓扑记录？," 
{[@3#@]}"," 
{[@3#@]}",
"8590
{[@1#8383#39677#36390201@]}",User,用户," 
{[@3#@]}"," 
{[@3#@]}",
"8591
{[@1#8383#39677#36390202@]}",ACL,ACL," 
{[@3#@]}"," 
{[@3#@]}",
"8592
{[@1#8383#39677#36390203@]}",ISP,ISP," 
{[@3#@]}"," 
{[@3#@]}",
"8593
{[@1#8383#39677#36390204@]}",Geolocation ISP,地理位置 ISP," 
{[@3#@]}"," 
{[@3#@]}",
"8594
{[@1#8383#39677#36390205@]}",ISP:,ISP：," 
{[@3#@]}"," 
{[@3#@]}",
"8595
{[@1#8383#39677#36390206@]}",Weight,权重," 
{[@3#@]}"," 
{[@3#@]}",
"8596
{[@1#8383#39677#36390207@]}",IP Subnet,IP 子网," 
{[@3#@]}"," 
{[@3#@]}",
"8597
{[@1#8383#39677#36390208@]}",IP Subnet:,IP 子网：," 
{[@3#@]}"," 
{[@3#@]}",
"8598
{[@1#8383#39677#36390209@]}",CIDRAddress,CIDRAddress," 
{[@3#@]}"," 
{[@3#@]}",
"8599
{[@1#8383#39677#36390210@]}",Continent,洲," 
{[@3#@]}"," 
{[@3#@]}",
"8600
{[@1#8383#39677#36390211@]}",Continent:,洲：," 
{[@3#@]}"," 
{[@3#@]}",
"8601
{[@1#8383#39677#36390212@]}",Country,国家/地区," 
{[@3#@]}"," 
{[@3#@]}",
"8602
{[@1#8383#39677#36390213@]}",Country:,国家/地区：," 
{[@3#@]}"," 
{[@3#@]}",
"8603
{[@1#8383#39677#36390214@]}",Country/State,国家/地区/州," 
{[@3#@]}"," 
{[@3#@]}",
"8604
{[@1#8383#39677#36390215@]}",Pool,池," 
{[@3#@]}"," 
{[@3#@]}",
"8605
{[@1#8383#39677#36390216@]}",Pool:,池：," 
{[@3#@]}"," 
{[@3#@]}",
"8606
{[@1#8383#39677#36390217@]}",Data Center,数据中心," 
{[@3#@]}"," 
{[@3#@]}",
"8607
{[@1#8383#39677#36390218@]}",Data Center:,数据中心：," 
{[@3#@]}"," 
{[@3#@]}",
"8608
{[@1#8383#39677#36390219@]}",Region,区域," 
{[@3#@]}"," 
{[@3#@]}",
"8609
{[@1#8383#39677#36390220@]}",Region:,区域：," 
{[@3#@]}"," 
{[@3#@]}",
"8610
{[@1#8383#39677#36390221@]}",Regions,区域," 
{[@3#@]}"," 
{[@3#@]}",
"8611
{[@1#8383#39677#36390222@]}",New Region...,新建区域...," 
{[@3#@]}"," 
{[@3#@]}",
"8612
{[@1#8383#39677#36390223@]}",Region Members,区域成员," 
{[@3#@]}"," 
{[@3#@]}",
"8613
{[@1#8383#39677#36390224@]}",Member List,成员列表," 
{[@3#@]}"," 
{[@3#@]}",
"8614
{[@1#8383#39677#36390225@]}",Member Type,成员类型," 
{[@3#@]}"," 
{[@3#@]}",
"8615
{[@1#8383#39677#36390226@]}",Member Type:,成员类型：," 
{[@3#@]}"," 
{[@3#@]}",
"8616
{[@1#8383#39677#36390227@]}",Region Name,区域名称," 
{[@3#@]}"," 
{[@3#@]}",
"8617
{[@1#8383#39677#36390228@]}",Add Records,添加记录," 
{[@3#@]}"," 
{[@3#@]}",
"8618
{[@1#8383#39677#36390229@]}",State,状态," 
{[@3#@]}"," 
{[@3#@]}",
"8619
{[@1#8383#39677#36390230@]}",North America,南美洲," 
{[@3#@]}"," 
{[@3#@]}",
"8620
{[@1#8383#39677#36390231@]}",South America,北美洲," 
{[@3#@]}"," 
{[@3#@]}",
"8621
{[@1#8383#39677#36390232@]}",Asia,亚洲," 
{[@3#@]}"," 
{[@3#@]}",
"8622
{[@1#8383#39677#36390233@]}",Europe,欧洲," 
{[@3#@]}"," 
{[@3#@]}",
"8623
{[@1#8383#39677#36390234@]}",Africa,非洲," 
{[@3#@]}"," 
{[@3#@]}",
"8624
{[@1#8383#39677#36390235@]}",Antarctica,南极洲," 
{[@3#@]}"," 
{[@3#@]}",
"8625
{[@1#8383#39677#36390236@]}",Oceania,大洋洲," 
{[@3#@]}"," 
{[@3#@]}",
"8626
{[@1#8383#39677#36390237@]}",Unknown,未知," 
{[@3#@]}"," 
{[@3#@]}",
"8627
{[@1#8383#39677#36390238@]}",is,是," 
{[@3#@]}"," 
{[@3#@]}",
"8628
{[@1#8383#39677#36390239@]}",is not,不是," 
{[@3#@]}"," 
{[@3#@]}",
"8629
{[@1#8383#39677#36390240@]}",iRule List,iRule 列表," 
{[@3#@]}"," 
{[@3#@]}",
